Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
HumanHire Corp.;Recruitment | 51-200 Employees | 10 years old | Gurgaon / Gurugram +2 more;4.9;Skill Development / Learning, Company Culture, Work Life Balance;;109;22;1;1;25;;
Girl Power Talk;Internet | 51-200 Employees | 5 years old | Mohali +2 more;4.9;Skill Development / Learning, Company Culture, Work Life Balance;;104;19;1;6;6;;
Expo Machine Tools;Industrial Machinery | 51-200 Employees | Delhi;4.9;Skill Development / Learning, Work Life Balance, Promotions / Appraisal;;95;93;1;--;1;;
Expo Machine Tools;Industrial Machinery | 51-200 Employees | Delhi;4.9;Skill Development / Learning, Work Life Balance, Promotions / Appraisal;;95;93;1;--;1;;
WVP International;Travel & Tourism | 11-50 Employees | 12 years old | Delhi/NCR +7 more;4.9;Company Culture, Work Satisfaction, Job Security;;89;57;1;1;4;;
WVP International;Travel & Tourism | 11-50 Employees | 12 years old | Delhi/NCR +7 more;4.9;Company Culture, Work Satisfaction, Job Security;;89;57;1;1;4;;
Sapphire Infocom;IT Services & Consulting | 11-50 Employees | 30 years old | Ahmedabad +2 more;4.9;Company Culture, Work Satisfaction, Skill Development / Learning;;84;10;3;--;14;;
AppLogiQ;IT Services & Consulting | 51-200 Employees | Startup | 4 years old | Tiruppur;4.9;Skill Development / Learning, Company Culture, Work Satisfaction;;81;55;2;--;3;;
Tatva Global School;Education & Training | 51-200 Employees | Hyderabad / Secunderabad;4.9;Work Satisfaction, Skill Development / Learning, Company Culture;;74;51;2;--;53;;
Kogta Financial India Limited;NBFC | 1k-5k Employees | Public | 28 years old | Jaipur +206 more;4.8;Company Culture, Work Life Balance, Work Satisfaction;;3k;1.3k;67;13;51;;
NextComm Corporation;1k-5k Employees | 7 years old | Ahmedabad +10 more;4.8;Promotions / Appraisal, Work Life Balance, Company Culture;;709;5;2;--;31;;
Kothari Agritech;Building Material | 1k-5k Employees | 27 years old | Pune +133 more;4.8;Work Satisfaction, Work Life Balance, Company Culture;;498;563;38;--;11;;
Tekwissen;IT Services & Consulting | 201-500 Employees | 15 years old | Ann Arbor +4 more;4.8;Skill Development / Learning, Company Culture, Work Satisfaction;;440;372;5;67;22;;
Glorious Insight;IT Services & Consulting | 201-500 Employees | Noida +2 more;4.8;Company Culture, Skill Development / Learning, Work Satisfaction;;420;173;1;--;22;;
Aurigo;Software Product | 201-500 Employees | 21 years old | Austin +3 more;4.8;Company Culture, Work Life Balance, Job Security;;411;795;6;30;164;;
Anlitiks;Hyderabad / Secunderabad +1 more;4.8;Company Culture, Work Life Balance, Job Security;;410;3;--;--;9;;
Aksentt Tech Services;IT Services & Consulting | 201-500 Employees | Public | 17 years old | Mumbai +12 more;4.8;Skill Development / Learning, Company Culture, Work Life Balance;;331;267;19;3;17;;
Online Legal India;Legal | 501-1k Employees | Startup | 5 years old | Kolkata +5 more;4.8;Company Culture, Skill Development / Learning, Work Life Balance;;314;53;3;--;23;;
Wintax Solution;Recruitment | 11-50 Employees | 6 years old | Surat +74 more;4.8;Company Culture, Skill Development / Learning, Work Life Balance;;295;35;4;5;117;;
Aditya Anagha Multi State Credit Co-Operative Society;Banking | 501-1k Employees | 13 years old | Nagpur +37 more;4.8;Company Culture, Skill Development / Learning, Work Life Balance;;290;96;4;--;3;;
Markelytics Solutions;Analytics & KPO | 201-500 Employees | 21 years old | Bangalore/Bengaluru +5 more;4.8;Work Life Balance, Skill Development / Learning, Company Culture;;272;395;2;6;71;;
Globus Infocom;EdTech | 201-500 Employees | Conglomerate | 23 years old | Noida +18 more;4.8;Salary & Benefits, Promotions / Appraisal, Company Culture;;262;539;5;4;27;;
Panzer Technologies;IT Services & Consulting | 201-500 Employees | 18 years old | Hyderabad;4.8;Skill Development / Learning, Work Life Balance, Work Satisfaction;;198;204;2;18;10;;
Jakson Green;Noida +20 more;4.8;Job Security, Company Culture, Work Satisfaction;;177;58;5;--;3;;
Quantzig;Analytics & KPO | 51-200 Employees | Bangalore / Bengaluru +1 more;4.8;Salary & Benefits, Skill Development / Learning, Work Life Balance;;174;196;1;5;66;;
Opporture;Content Development | 201-500 Employees | Kanpur;4.8;Company Culture, Skill Development / Learning, Work Life Balance;;168;48;1;--;--;;
TIDE;FinTech | 501-1k Employees | Startup | 9 years old | London +3 more;4.8;Company Culture, Work Life Balance, Work Satisfaction;;163;403;4;11;13;;
Hire Glocal;Recruitment | 51-200 Employees | 12 years old | Mumbai +6 more;4.8;Company Culture, Work Satisfaction, Skill Development / Learning;;162;53;14;--;36;;
Greemus Software Technologies Private Limited;IT Services & Consulting | 201-500 Employees | 10 years old | Hyderabad/Secunderabad +3 more;4.8;Skill Development / Learning, Company Culture, Salary & Benefits;;155;2;1;--;3;;
KrishTeck Technologies;IT Services & Consulting | 51-200 Employees | 14 years old | Salem +28 more;4.8;Job Security, Skill Development / Learning, Company Culture;;146;19;6;--;1;;
Frugal Testing;IT Services & Consulting | 51-200 Employees | 8 years old | Hyderabad +1 more;4.8;Skill Development / Learning, Company Culture, Work Satisfaction;;143;71;4;1;2;;
MedTourEasy;Internet | 51-200 Employees | 9 years old | New York +5 more;4.8;Skill Development / Learning, Work Life Balance, Work Satisfaction;;141;124;2;--;6;;
HM Group;Real Estate | 51-200 Employees | 33 years old | Bengaluru +3 more;4.8;Company Culture, Work Life Balance, Skill Development / Learning;;132;315;2;--;9;;
SkillCircle;EdTech | 51-200 Employees | 9 years old | New Delhi +4 more;4.8;Skill Development / Learning, Company Culture, Work Satisfaction;;128;96;2;4;2;;
NNIIT;EdTech | 201-500 Employees | Hyderabad / Secunderabad +3 more;4.8;Company Culture, Job Security, Work Satisfaction;;121;52;2;--;9;;
Cherise India;Beverage | 5k-10k Employees | Mumbai +3 more;4.8;Job Security, Work Satisfaction, Skill Development / Learning;;114;195;1;1;2;;
Armed Forces Tribunal;Government | 11-50 Employees | 17 years old | New Delhi +37 more;4.8;Job Security, Skill Development / Learning, Company Culture;;113;424;--;--;22;;
PearVisa Immigration Services;Recruitment | 51-200 Employees | Public | 14 years old | New Delhi +5 more;4.8;Skill Development / Learning, Work Life Balance, Job Security;;113;124;--;--;46;;
Sofitel Luxury Hotel;Hospitality | 1k-5k Employees | 60 years old | Paris +8 more;4.8;Job Security, Skill Development / Learning, Company Culture;;112;406;8;--;13;;
MMACH Design;IT Services & Consulting | 51-200 Employees | Pune +10 more;4.8;Company Culture, Work Life Balance, Work Satisfaction;;110;24;1;--;12;;
Saleswallah;Education & Training | 51-200 Employees | 3 years old | Noida +1 more;4.8;Work Satisfaction, Job Security, Promotions / Appraisal;;110;68;12;--;1;;
7Search PPC;Marketing & Advertising | 51-200 Employees | 10 years old | 29079 Whitegate Highland +6 more;4.8;Skill Development / Learning, Company Culture, Work Satisfaction;;110;3;1;--;6;;
Little Nap Recliners;201-500 Employees | New Delhi +15 more;4.8;Company Culture, Skill Development / Learning, Job Security;;107;27;3;--;43;;
VisAI Labs;Software Product | 51-200 Employees | Startup | 6 years old | Chennai +1 more;4.8;Job Security, Skill Development / Learning, Salary & Benefits;;101;68;5;--;7;;
MicroSpark Software Solutions;IT Services & Consulting | 201-500 Employees | 15 years old | Hyderabad +3 more;4.8;Work Life Balance, Work Satisfaction, Company Culture;;92;1.5k;4;1;5;;
Aimfill International;Education & Training | Cochin +8 more;4.8;Work Life Balance, Skill Development / Learning, Company Culture;;90;76;3;--;4;;
Reebok;Fashion & Textile | 5k-10k Employees (Global) | 66 years old | Boston +37 more;4.8;Skill Development / Learning, Company Culture, Work Satisfaction;;89;310;3;--;18;;
Media NV;Ahmedabad;4.8;Work Life Balance, Work Satisfaction, Company Culture;;87;45;1;4;4;;
Gitarattan International Business School;Education & Training | 51-200 Employees | 20 years old | New Delhi;4.8;Job Security, Work Life Balance, Salary & Benefits;;82;81;12;--;5;;
Morpheus Human Consulting;11-50 Employees | 19 years old | Mumbai +7 more;4.8;Company Culture, Work Satisfaction, Job Security;;82;78;8;221;12;;
SMSlocal;Mumbai +2 more;4.8;Promotions / Appraisal, Salary & Benefits, Company Culture;;81;--;--;--;5;;
Sparkout Tech Solutions;IT Services & Consulting | 51-200 Employees | 7 years old | Dover;4.8;Job Security, Skill Development / Learning, Company Culture;;76;95;2;--;3;;
EzappSolution;IT Services & Consulting | 51-200 Employees | 16 years old | Gurgaon/Gurugram +8 more;4.8;Company Culture, Skill Development / Learning, Work Life Balance;;75;4;--;1;41;;
Cambata Aviation;Aviation | 1k-5k Employees | 70 years old | New Delhi +6 more;4.8;Skill Development / Learning, Company Culture, Work Life Balance;;75;116;--;--;5;;
DWP Global;IT Services & Consulting | 51-200 Employees | 16 years old | New Jersey +2 more;4.8;Company Culture, Skill Development / Learning, Work Life Balance;;75;86;--;--;7;;
Sharayu Hyundai;Automobile | 51-200 Employees | 37 years old | Mumbai +4 more;4.8;Company Culture, Work Satisfaction, Work Life Balance;;74;98;4;--;15;;
DSK Toyota;Automobile | 1k-5k Employees | 24 years old | Pune +6 more;4.8;Company Culture, Work Satisfaction, Skill Development / Learning;;74;96;2;--;13;;
Sharayu Hyundai;Automobile | 51-200 Employees | 37 years old | Mumbai +4 more;4.8;Company Culture, Work Satisfaction, Work Life Balance;;74;98;4;--;15;;
Indian Army;Defence & Aerospace | 1 Lakh+ Employees | Public | 129 years old | New Delhi +324 more;4.7;Job Security, Company Culture, Work Satisfaction;;5.4k;9.7k;124;--;760;;
Indian Air Force;Defence & Aerospace | 1 Lakh+ Employees | 92 years old | New Delhi +111 more;4.7;Job Security, Skill Development / Learning, Salary & Benefits;;2.6k;5.1k;37;--;376;;
Kalyan Jewellers;Jewellery | 5k-10k Employees | Fortune India 500 | 31 years old | Bangalore / Bengaluru +131 more;4.7;Skill Development / Learning, Company Culture, Salary & Benefits;;1.6k;1.3k;37;14;59;;
Veritas Finance;NBFC | 1k-5k Employees | Startup | 9 years old | Chennai +258 more;4.7;Company Culture, Job Security, Work Satisfaction;;1.1k;1.5k;58;--;42;;
Evision Technoserve;Recruitment | 51-200 Employees | 12 years old | Delhi/NCR +63 more;4.7;Company Culture, Work Life Balance, Work Satisfaction;;813;231;15;--;41;;
Capital Numbers Infotech;IT Services & Consulting | 501-1k Employees | 12 years old | Kolkata +14 more;4.7;Work Life Balance, Company Culture, Work Satisfaction;;719;920;22;3;104;;
Nippon Life India Asset Management;Financial Services | 1k-5k Employees | Public | 29 years old | Mumbai +158 more;4.7;Work Life Balance, Company Culture, Work Satisfaction;;578;1.3k;12;12;28;;
ACTE;Education & Training | 1-10 Employees | 13 years old | Chennai +10 more;4.7;Work Satisfaction, Salary & Benefits, Job Security;;518;60;5;--;186;;
Poorvika Mobiles;Retail | 5k-10k Employees | 20 years old | Chennai +73 more;4.7;Job Security, Company Culture, Skill Development / Learning;;492;1.2k;20;8;35;;
Bluestream Software Solution;IT Services & Consulting | 1k-5k Employees | New Delhi +8 more;4.7;Skill Development / Learning, Salary & Benefits, Company Culture;;460;27;3;--;91;;
Baoiam Innovations;EdTech | 11-50 Employees | 3 years old | New Delhi +14 more;4.7;Company Culture, Skill Development / Learning, Work Life Balance;;294;8;7;--;18;;
K D Hospital;Healthcare | 201-500 Employees | 6 years old | Ahmedabad +3 more;4.7;Company Culture, Job Security, Skill Development / Learning;;293;320;5;--;10;;
L&T Transportation Infrastructure;Engineering & Construction | 5k-10k Employees | Mumbai +35 more;4.7;Job Security, Skill Development / Learning, Company Culture;;263;138;5;--;130;;
Nippon Koei India;Engineering & Construction | 501-1k Employees | 16 years old | Delhi/NCR +43 more;4.7;Company Culture, Work Life Balance, Salary & Benefits;;226;909;12;--;28;;
Pratibha Industries;Engineering & Construction | 501-1k Employees | Public | 42 years old | Mumbai +20 more;4.7;Work Life Balance, Company Culture, Skill Development / Learning;;214;576;1;--;26;;
Accurate Global Alliances;Recruitment | 51-200 Employees | 12 years old | Noida +5 more;4.7;Skill Development / Learning, Company Culture, Work Life Balance;;197;54;9;6;7;;
AYN InfoTech;IT Services & Consulting | 51-200 Employees | Public | 15 years old | Bengaluru/Bangalore +12 more;4.7;Work Life Balance, Job Security, Salary & Benefits;;195;237;--;13;48;;
PrimeXBT;FinTech | 11-50 Employees | 6 years old | London +5 more;4.7;Job Security, Salary & Benefits, Work Life Balance;;195;8;--;--;14;;
Model N;Software Product | 501-1k Employees | Public | 25 years old | San Mateo;4.7;Company Culture, Work Life Balance, Job Security;;192;824;7;13;22;;
BuildAHome;Engineering & Construction | 51-200 Employees | 8 years old | Bangalore/Bengaluru +3 more;4.7;Company Culture, Job Security, Skill Development / Learning;;173;188;5;1;53;;
Mayoor School;Education & Training | 51-200 Employees | 21 years old | Noida +8 more;4.7;Skill Development / Learning, Work Satisfaction, Job Security;;167;136;1;--;133;;
Qatargas;Oil & Gas | 5k-10k Employees | 40 years old | Doha +13 more;4.7;Skill Development / Learning, Work Satisfaction, Company Culture;;165;527;6;--;18;;
Cadworks India;Design | 51-200 Employees | 13 years old | New Delhi +9 more;4.7;Work Life Balance, Salary & Benefits, Job Security;;163;56;1;--;5;;
SevenMentor;Education & Training | 51-200 Employees | 15 years old | Pune +2 more;4.7;Company Culture, Job Security, Skill Development / Learning;;163;323;8;3;33;;
Systopic Laboratories;Pharma | 501-1k Employees | 42 years old | Delhi/NCR +41 more;4.7;Job Security, Work Life Balance, Company Culture;;160;346;3;1;27;;
Army Ordnance Corps;Defence & Aerospace | 11-50 Employees | Public | 249 years old | New Delhi +50 more;4.7;Job Security, Company Culture, Skill Development / Learning;;159;437;2;--;17;;
Novigo Solutions;IT Services & Consulting | 501-1k Employees | 12 years old | Dallas +6 more;4.7;Work Life Balance, Company Culture, Work Satisfaction;;158;804;12;6;4;;
Watchyourhealth.com;Emerging Technologies | 201-500 Employees | 9 years old | Thane +1 more;4.7;Skill Development / Learning, Company Culture, Work Satisfaction;;158;223;4;43;35;;
Saudi Oger;Engineering & Construction | 1-10 Employees | 46 years old | Riyadh +11 more;4.7;Work Satisfaction, Skill Development / Learning, Company Culture;;155;171;2;--;34;;
Saudi Oger;Engineering & Construction | 1-10 Employees | 46 years old | Riyadh +11 more;4.7;Work Satisfaction, Skill Development / Learning, Company Culture;;155;171;2;--;34;;
CFlo;Industrial Machinery | 51-200 Employees | 18 years old | Kolkata +6 more;4.7;Company Culture, Job Security, Skill Development / Learning;;145;392;6;--;18;;
Conceptia Software Technologies;Defence & Aerospace | 51-200 Employees | 20 years old | Bengaluru/Bangalore +8 more;4.7;Work Life Balance, Work Satisfaction, Company Culture;;139;462;5;14;7;;
75way Technologies;IT Services & Consulting | 51-200 Employees | 9 years old | Mohali +2 more;4.7;Promotions / Appraisal, Skill Development / Learning, Job Security;;137;80;1;9;124;;
Shantha Biotechnics;Biotechnology | 11-50 Employees | 31 years old | Hyderabad/Secunderabad +3 more;4.7;Job Security, Company Culture, Skill Development / Learning;;136;462;2;--;19;;
Tripjack;Travel & Tourism | 501-1k Employees | 37 years old | Mumbai +8 more;4.7;Job Security, Work Life Balance, Company Culture;;126;203;5;5;2;;
OneClick IT Consultancy;IT Services & Consulting | 51-200 Employees | 12 years old | Ahmedabad +2 more;4.7;Company Culture, Job Security, Skill Development / Learning;;125;137;1;1;78;;
Saraswati Accountants Software;IT Services & Consulting | 51-200 Employees | State | 25 years old | New Delhi +2 more;4.7;Skill Development / Learning, Company Culture, Work Satisfaction;;118;116;2;3;15;;
Education Culture;Education & Training | 51-200 Employees | 9 years old | Ludhiana +7 more;4.7;Company Culture, Work Satisfaction, Promotions / Appraisal;;116;100;3;2;27;;
Shri Venkateshwara University;Education & Training | 501-1k Employees | 14 years old | Gajraula +14 more;4.7;Work Satisfaction, Work Life Balance, Job Security;;114;401;5;3;8;;
QO BOX;11-50 Employees | Chennai +3 more;4.7;Skill Development / Learning, Company Culture, Work Satisfaction;;114;44;4;--;13;;
Cytecare Cancer Hospital;Healthcare | 201-500 Employees | Startup | 10 years old | Bangalore +2 more;4.7;Job Security, Skill Development / Learning, Company Culture;;113;430;5;--;14;;
Cytecare Cancer Hospital;Healthcare | 201-500 Employees | Startup | 10 years old | Bangalore +2 more;4.7;Job Security, Skill Development / Learning, Company Culture;;113;430;5;--;14;;
Equate Petrochemical;Petrochemicals | 1k-5k Employees | 29 years old | Ahmadi +10 more;4.7;Salary & Benefits, Work Satisfaction, Company Culture;;111;234;7;--;12;;
Abu Dhabi Oil Refining Company;Oil & Gas | Abu Dhabi +6 more;4.7;Work Life Balance, Company Culture, Salary & Benefits;;111;494;1;--;9;;
Comvision;Financial Services | 11-50 Employees | Gurgaon +5 more;4.7;Salary & Benefits, Skill Development / Learning, Job Security;;109;180;1;--;30;;
Eminent Minds Technologies;BPO | 201-500 Employees | 9 years old | Bengaluru +3 more;4.7;Company Culture, Work Life Balance, Work Satisfaction;;106;15;1;1;27;;
Franchise Alpha;Management Consulting | 11-50 Employees | 10 years old | Mumbai +5 more;4.7;Company Culture, Skill Development / Learning, Work Satisfaction;;103;10;1;69;6;;
Hyperlink Infosystem;Software Product | 1k-5k Employees | 13 years old | Ahmedabad;4.7;Job Security, Skill Development / Learning, Work Life Balance;;101;360;2;--;12;;
Calix;Telecom | 201-500 Employees | 25 years old | San Jose +1 more;4.7;Company Culture, Work Life Balance, Salary & Benefits;;101;153;3;12;9;;
AMPLUS SOLAR;Internet | 501-1k Employees | 16 years old | Gurgaon +10 more;4.7;Salary & Benefits, Company Culture, Job Security;;99;663;3;1;17;;
SRM Techsol;IT Services & Consulting | 51-200 Employees | 20 years old | San Mateo +1 more;4.7;Work Life Balance, Work Satisfaction, Salary & Benefits;;98;306;1;4;13;;
Utkarsh Classes;22 years old | Jodhpur +5 more;4.7;Company Culture, Work Satisfaction, Job Security;;93;92;3;10;5;;
