Company_name;Description;Ratings;Highly_rated_for;Critically_rated_for;Total_reviews;Avg_salary;Interviews_taken;Total_jobs_available;Total_benefits;;
Ginger Hotels;Hospitality | 501-1k Employees | 21 years old | Mumbai +32 more;4.4;Job Security, Company Culture, Work Life Balance;;137;569;4;11;20;;
Sagarsoft;IT Services & Consulting | 51-200 Employees | Public | 28 years old | Hyderabad/Secunderabad +2 more;4.4;Company Culture, Work Life Balance, Job Security;;136;517;5;7;82;;
Tata Memorial Hospital;Healthcare | 1k-5k Employees | 83 years old | Mumbai +5 more;4.4;Skill Development / Learning, Work Satisfaction, Company Culture;Promotions / Appraisal;136;543;6;--;17;;
BEO Software;IT Services & Consulting | 201-500 Employees | 21 years old | Kochi/Cochin +1 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;136;380;--;14;91;;
Ghv India;Engineering & Construction | 201-500 Employees | 59 years old | Mumbai +28 more;4.4;Job Security, Work Satisfaction, Company Culture;;133;641;4;--;15;;
Schreiber Dynamix Dairies;Electronics Manufacturing | 501-1k Employees | Public | 31 years old | Mumbai +7 more;4.4;Job Security, Skill Development / Learning, Work Life Balance;;131;555;3;1;21;;
VIS Networks;Telecom | 201-500 Employees | 13 years old | Bangalore/Bengaluru +16 more;4.4;Skill Development / Learning, Job Security, Work Satisfaction;;131;1.1k;4;1;18;;
Choice Consultancy Services;Management Consulting | 1k-5k Employees (Global) | 14 years old | Mumbai +37 more;4.4;Company Culture, Salary & Benefits, Work Life Balance;;131;542;7;--;5;;
Desai Construction;Engineering & Construction | 51-200 Employees | 49 years old | Mumbai +19 more;4.4;Job Security, Salary & Benefits, Company Culture;;130;535;4;--;24;;
Desai Construction;Engineering & Construction | 51-200 Employees | 49 years old | Mumbai +19 more;4.4;Job Security, Salary & Benefits, Company Culture;;130;535;4;--;24;;
Ministry of Home Affairs;Government | 51-200 Employees | Central | 77 years old | New Delhi +20 more;4.4;Work Life Balance, Company Culture, Skill Development / Learning;Promotions / Appraisal;129;5.7k;4;--;8;;
The Nuance Group AG;IT Services & Consulting | 1k-5k Employees | 32 years old | Zurich +9 more;4.4;Salary & Benefits, Work Life Balance, Company Culture;;128;1k;2;--;12;;
Lubi Industries Llp;Industrial Machinery | 1k-5k Employees | 59 years old | Ahmedabad +26 more;4.4;Work Life Balance, Job Security, Work Satisfaction;Promotions / Appraisal;128;797;4;--;11;;
Programmers.io;IT Services & Consulting | 1k-5k Employees | 11 years old | Jaipur +4 more;4.4;Work Life Balance, Work Satisfaction, Promotions / Appraisal;;128;533;13;55;34;;
Centelon;IT Services & Consulting | 201-500 Employees | 8 years old | Melbourne +7 more;4.4;Work Satisfaction, Company Culture, Job Security;;127;372;5;2;73;;
ING Vysya Bank;Banking | 5k-10k Employees | Public | 22 years old | Mumbai +41 more;4.4;Company Culture, Work Life Balance, Work Satisfaction;;127;388;4;--;14;;
NDS InfoServ;BPO | 201-500 Employees | 24 years old | Dallas TX +7 more;4.4;Job Security, Skill Development / Learning, Salary & Benefits;;127;333;6;--;11;;
L&T Power Transmission & Distribution;Power | 1k-5k Employees | Chennai +26 more;4.4;Job Security, Skill Development / Learning, Work Satisfaction;;125;117;--;--;93;;
Sunbeam School;Education & Training | 10k-50k Employees | 52 years old | Varanasi +19 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;;125;364;7;--;18;;
L&T Power Transmission & Distribution;Power | 1k-5k Employees | Chennai +26 more;4.4;Job Security, Skill Development / Learning, Work Satisfaction;;125;117;--;--;93;;
Gulf Oil Corporation;Oil & Gas | 201-500 Employees (Global) | 63 years old | Hyderabad +21 more;4.4;Work Life Balance, Company Culture, Job Security;;124;548;4;--;15;;
Vserve Ebusiness Solutions;IT Services & Consulting | 201-500 Employees | 20 years old | New York +8 more;4.4;Work Life Balance, Work Satisfaction, Skill Development / Learning;;124;497;2;20;3;;
Skechers;Fashion & Textile | 32 years old | Manhattan Beach +40 more;4.4;Company Culture, Skill Development / Learning, Salary & Benefits;;122;596;8;--;22;;
Noccarc Robotics;Medical Equipment | 51-200 Employees | Startup | 7 years old | Pune +7 more;4.4;Company Culture, Skill Development / Learning, Work Satisfaction;;122;241;4;14;42;;
Housr;Hospitality | 51-200 Employees | Startup | 6 years old | Gurgaon +5 more;4.4;Skill Development / Learning, Salary & Benefits, Work Satisfaction;;122;184;2;14;9;;
Covestro;201-500 Employees | Forbes Global 2000 | 9 years old | Leverkusen +11 more;4.4;Company Culture, Work Life Balance, Salary & Benefits;;121;598;5;--;19;;
Strategic Learning Solutions;BPO | 201-500 Employees | 28 years old | Gurgaon/Gurugram +23 more;4.4;Company Culture, Work Life Balance, Skill Development / Learning;;120;500;4;1;11;;
Apothecon Pharmaceuticals;Pharma | 51-200 Employees | 17 years old | Vadodara/Baroda +2 more;4.4;Job Security, Work Life Balance, Salary & Benefits;;120;898;5;8;31;;
Visen Industries;Chemicals | 1k-5k Employees | Public | 39 years old | Mumbai +11 more;4.4;Job Security, Work Satisfaction, Work Life Balance;;119;425;2;3;12;;
Futures Group;Retail | 11-50 Employees | 16 years old | New York +44 more;4.4;Work Life Balance, Skill Development / Learning, Company Culture;;119;813;2;--;16;;
Visen Industries;Chemicals | 1k-5k Employees | Public | 39 years old | Mumbai +11 more;4.4;Job Security, Work Satisfaction, Work Life Balance;;119;425;2;3;12;;
Futures Group;Retail | 11-50 Employees | 16 years old | New York +44 more;4.4;Work Life Balance, Skill Development / Learning, Company Culture;;119;813;2;--;16;;
Promea Therapeutics;Medical Equipment | 51-200 Employees | Startup | 7 years old | Hyderabad/Secunderabad +4 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;;117;335;9;--;11;;
Kuantum Papers;Pulp & Paper | 1k-5k Employees | Public | 27 years old | Chandigarh +3 more;4.4;Job Security, Work Life Balance, Company Culture;;117;541;4;11;14;;
Gennova Biopharmaceuticals;Pharma | 501-1k Employees | 18 years old | Pune +5 more;4.4;Work Life Balance, Company Culture, Job Security;;117;565;7;--;14;;
Mandovi Motors;Auto Components | 1k-5k Employees | 40 years old | Bangalore/Bengaluru +4 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;Promotions / Appraisal;116;505;4;2;14;;
Rimini Street;IT Services & Consulting | 501-1k Employees | Public | 12 years old | Las Vegas +1 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;116;691;1;6;15;;
Mandovi Motors;Auto Components | 1k-5k Employees | 40 years old | Bangalore/Bengaluru +4 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;Promotions / Appraisal;116;505;4;2;14;;
Fairfield Inn by Marriott;Bangalore / Bengaluru +23 more;4.4;Job Security, Skill Development / Learning, Company Culture;;115;292;5;--;3;;
RD Public School;Education & Training | 201-500 Employees | 17 years old | Betul +19 more;4.4;Job Security, Skill Development / Learning, Company Culture;;115;464;2;4;6;;
Ingenero Technologies;Oil & Gas | 201-500 Employees | 22 years old | Houston +3 more;4.4;Job Security, Work Life Balance, Company Culture;;114;704;5;3;7;;
AGROCEL INDUSTRIES;Chemicals | 51-200 Employees | 39 years old | Mumbai +9 more;4.4;Company Culture, Job Security, Work Satisfaction;;114;494;8;--;10;;
Star Agriwarehousing and Collateral Management;Agriculture | 201-500 Employees | Public | 18 years old | Mumbai +35 more;4.4;Work Satisfaction, Skill Development / Learning, Work Life Balance;;114;468;2;--;15;;
Oman National Engineering & Investment Company;Engineering & Construction | 1k-5k Employees (Global) | 46 years old | Muscat +5 more;4.4;Company Culture, Skill Development / Learning, Work Satisfaction;Promotions / Appraisal;113;401;1;--;21;;
Somika Sarl;Metals & Mining | 23 years old | Kinshasa +11 more;4.4;Salary & Benefits, Job Security, Company Culture;;113;388;9;--;10;;
Valueonshore Advisors;Management Consulting | 201-500 Employees | 15 years old | Gurgaon/Gurugram +2 more;4.4;Work Life Balance, Salary & Benefits, Work Satisfaction;;112;375;6;11;16;;
BasketHunt;Software Product | 1k-5k Employees | 4 years old | Sahibganj +8 more;4.4;Company Culture, Skill Development / Learning, Work Life Balance;Salary & Benefits;112;23;8;1;1;;
Marsh McLennan Global Services;Financial Services | Mumbai +4 more;4.4;Job Security, Company Culture, Work Life Balance;;112;603;11;8;29;;
Willowood Chemicals;Agro Chemicals | 18 years old | Vadodara +32 more;4.4;Work Life Balance, Job Security, Work Satisfaction;;111;319;2;--;2;;
HelpAge India;Non-Profit | 501-1k Employees | 46 years old | Delhi/NCR +40 more;4.4;Work Satisfaction, Work Life Balance, Company Culture;;111;356;2;10;12;;
Greenlight Planet;Power | 201-500 Employees | 16 years old | Chicago +26 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;110;419;1;9;26;;
Peekay Steel Castings;Iron & Steel | 201-500 Employees | 33 years old | Calicut +8 more;4.4;Skill Development / Learning, Salary & Benefits, Work Satisfaction;;110;515;3;--;10;;
Reynolds;Other | 501-1k Employees | 79 years old | Minnesota +23 more;4.4;Work Life Balance, Salary & Benefits, Work Satisfaction;;108;447;5;--;16;;
J. M. Mhatre Infra;Engineering & Construction | 51-200 Employees | 39 years old | Navi Mumbai +16 more;4.4;Job Security, Work Life Balance, Skill Development / Learning;Salary & Benefits;107;513;1;2;16;;
SEED CSR;Non-Profit | 51-200 Employees | 18 years old | New Delhi +8 more;4.4;Skill Development / Learning, Work Satisfaction, Company Culture;;107;107;3;--;42;;
Nava Bharath Fertilizers;Agro Chemicals | 51-200 Employees | 9 years old | Hyderabad/Secunderabad +32 more;4.4;Skill Development / Learning, Work Satisfaction, Company Culture;Promotions / Appraisal;106;284;4;--;18;;
Madras Medical Mission;Healthcare | 1k-5k Employees | 42 years old | Chennai +3 more;4.4;Job Security, Work Satisfaction, Skill Development / Learning;;106;441;3;3;13;;
Central Coalfields;Metals & Mining | 10k-50k Employees (Global) | Central | 49 years old | Ranchi +6 more;4.4;Work Satisfaction, Company Culture, Work Life Balance;;106;268;2;--;12;;
Bhate & Raje Construction Co.;Engineering & Construction | 501-1k Employees | 34 years old | Pune +4 more;4.4;Job Security, Work Life Balance, Skill Development / Learning;;105;404;2;2;13;;
Anabeeb;Oil & Gas | 1k-5k Employees (Global) | 41 years old | Dammam +5 more;4.4;Skill Development / Learning, Job Security, Work Life Balance;;105;302;5;--;14;;
Anabeeb;Oil & Gas | 1k-5k Employees (Global) | 41 years old | Dammam +5 more;4.4;Skill Development / Learning, Job Security, Work Life Balance;;105;302;5;--;14;;
Celebrity Cruises;Travel & Tourism | 501-1k Employees | 35 years old | Miami +3 more;4.4;Skill Development / Learning, Work Life Balance, Job Security;;103;145;2;--;9;;
PharmaZell;Pharma | 501-1k Employees | 78 years old | Raubling +4 more;4.4;Company Culture, Job Security, Skill Development / Learning;;103;565;8;1;14;;
Integrated Cleanroom Technologies;Facility Management Services | 501-1k Employees | 21 years old | Hyderabad +6 more;4.4;Job Security, Company Culture, Salary & Benefits;;102;504;--;--;13;;
Citrus Hotels;Hospitality | 51-200 Employees | 16 years old | Mumbai +22 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;102;389;--;--;21;;
Just In Time;Retail | Surat +17 more;4.4;Skill Development / Learning, Work Life Balance, Job Security;;102;153;--;--;2;;
DMI DRAEXLMAIER MANUFACTURING;Industrial Machinery | 51-200 Employees | 66 years old | Vilsbiburg +2 more;4.4;Work Life Balance, Company Culture, Job Security;;101;466;3;--;12;;
Doosan Heavy Industries & Construction;Engineering & Construction | 5k-10k Employees (Global) | 62 years old | Seocho +18 more;4.4;Salary & Benefits, Skill Development / Learning, Company Culture;;101;298;4;--;15;;
Sterling Manufacturing Company;1-10 Employees | Gurgaon / Gurugram +24 more;4.4;Work Life Balance, Company Culture, Promotions / Appraisal;;101;54;4;1;4;;
Century Textiles and Industries;Pulp & Paper | 1k-5k Employees | Fortune India 500 | 127 years old | Mumbai +34 more;4.4;Job Security, Company Culture, Work Life Balance;;100;441;1;--;10;;
Arabian Bemco Contracting Co;Engineering & Construction | 51-200 Employees | 56 years old | Jeddah  +10 more;4.4;Skill Development / Learning, Salary & Benefits, Work Life Balance;;100;137;2;--;17;;
Fairmont Hotels & Resorts;Hospitality | 201-500 Employees | 117 years old | Toronto +14 more;4.4;Salary & Benefits, Skill Development / Learning, Work Life Balance;;100;353;5;--;14;;
JL Morison India;FMCG | 201-500 Employees | Public | 90 years old | Mumbai +31 more;4.4;Company Culture, Work Life Balance, Job Security;;100;340;4;--;7;;
Meenakshi Mission Hospital & Research Centre;Healthcare | 1k-5k Employees | 34 years old | Madurai +6 more;4.4;Job Security, Work Life Balance, Skill Development / Learning;;99;484;7;2;15;;
anovIP;Legal | 201-500 Employees | New Delhi +2 more;4.4;Job Security, Work Life Balance, Work Satisfaction;;99;316;5;9;6;;
Interview Kickstart;Education & Training | 51-200 Employees | Startup | 10 years old | Delaware;4.4;Company Culture, Skill Development / Learning, Work Life Balance;;99;273;3;20;7;;
ICSIL;Telecom | 1-10 Employees | Public | 40 years old | New Delhi +1 more;4.4;Work Life Balance, Work Satisfaction, Skill Development / Learning;Promotions / Appraisal;98;296;2;--;9;;
Ceratizit;Industrial Machinery | 501-1k Employees | 103 years old | Mamer +14 more;4.4;Job Security, Company Culture, Work Life Balance;;98;653;4;--;19;;
Lennox India Technology Centre;Industrial Machinery | 501-1k Employees | 129 years old | Chennai +2 more;4.4;Company Culture, Job Security, Work Life Balance;;97;780;9;66;19;;
OrigoFinance;Financial Services | 51-200 Employees | 8 years old | Hyderabad +23 more;4.4;Work Satisfaction, Skill Development / Learning, Work Life Balance;;96;411;7;--;9;;
Metro Shoes;Fashion & Textile | 1k-5k Employees (Global) | 77 years old | Mumbai +28 more;4.4;Skill Development / Learning, Company Culture, Work Satisfaction;;96;380;3;--;14;;
Opgs Power Gujarat;Power | 201-500 Employees | 16 years old | Toronto +11 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;;96;530;3;--;13;;
Breach Candy Hospital Trust;Healthcare | 201-500 Employees | 74 years old | Mumbai +5 more;4.4;Job Security, Salary & Benefits, Work Satisfaction;;96;319;2;25;12;;
AmberStudent;Internet | 501-1k Employees | Startup | 8 years old | Pune +1 more;4.4;Company Culture, Job Security, Work Satisfaction;;96;270;8;8;5;;
Param Renewable Energy;Power | Ahmedabad +23 more;4.4;Company Culture, Skill Development / Learning, Work Satisfaction;;95;354;9;1;14;;
Elsevier;Printing & Publishing | 1k-5k Employees | Public | 144 years old | Amsterdam +6 more;4.4;Work Life Balance, Company Culture, Job Security;;95;766;10;--;14;;
Emirates Global Aluminium;Metals & Mining | 5k-10k Employees | 45 years old | Abu Dhabi +7 more;4.4;Skill Development / Learning, Work Life Balance, Salary & Benefits;;94;341;7;--;11;;
Zydus Hospira Oncology;Ahmedabad +3 more;4.4;Skill Development / Learning, Company Culture, Job Security;;94;339;2;--;13;;
Firmenich Aromatics;Chemicals | 501-1k Employees | 129 years old | Meyrin +8 more;4.4;Work Life Balance, Company Culture, Job Security;Promotions / Appraisal;94;636;6;10;18;;
Emirates Global Aluminium;Metals & Mining | 5k-10k Employees | 45 years old | Abu Dhabi +7 more;4.4;Skill Development / Learning, Work Life Balance, Salary & Benefits;;94;341;7;--;11;;
Shree Shubham Logistics;Logistics | 51-200 Employees | Public | 17 years old | Mumbai +28 more;4.4;Company Culture, Work Life Balance, Work Satisfaction;;94;346;4;--;10;;
Firmenich Aromatics;Chemicals | 501-1k Employees | 129 years old | Meyrin +8 more;4.4;Work Life Balance, Company Culture, Job Security;Promotions / Appraisal;94;636;6;10;18;;
DCM Engineering;Auto Components | 1k-5k Employees | 34 years old | New Delhi +6 more;4.4;Work Life Balance, Skill Development / Learning, Company Culture;;93;452;1;--;13;;
Allahabad High Court;Law Enforcement & Security | 5k-10k Employees | 155 years old | Allahabad +8 more;4.4;Work Life Balance, Skill Development / Learning, Company Culture;Promotions / Appraisal;93;465;5;--;5;;
Transpek-silox Industry;Chemicals | 201-500 Employees | Public | 23 years old | Vadodara/Baroda +4 more;4.4;Job Security, Company Culture, Work Life Balance;;93;569;2;--;15;;
Municipal Council;New Delhi +50 more;4.4;Work Satisfaction, Skill Development / Learning, Work Life Balance;;92;377;--;--;3;;
HP Globalsoft;Bangalore / Bengaluru +2 more;4.4;Company Culture, Work Life Balance, Job Security;;92;467;--;--;14;;
Thoughtsol Infotech;IT Services & Consulting | 201-500 Employees | 10 years old | New Delhi +6 more;4.4;Company Culture, Work Satisfaction, Skill Development / Learning;;92;372;5;1;4;;
Ocean Sparkle;Ports & Shipping | 1k-5k Employees | 29 years old | Hyderabad +18 more;4.4;Job Security, Skill Development / Learning, Company Culture;;91;310;2;--;15;;
Beyond Key Systems;IT Services & Consulting | 51-200 Employees | 19 years old | Chicago +4 more;4.4;Company Culture, Skill Development / Learning, Work Life Balance;;91;441;6;8;17;;
Strabag;Engineering & Construction | 51-200 Employees | Forbes Global 2000 | 189 years old | Vienna +11 more;4.4;Work Life Balance, Company Culture, Salary & Benefits;;91;366;5;--;7;;
Beyond Key Systems;IT Services & Consulting | 51-200 Employees | 19 years old | Chicago +4 more;4.4;Company Culture, Skill Development / Learning, Work Life Balance;;91;441;6;8;17;;
Fiverr Inc.;Internet | 5k-10k Employees | 14 years old | Tel Aviv +23 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;;90;591;6;--;6;;
Construction Group;Engineering & Construction | 51-200 Employees | Mumbai +35 more;4.4;Work Satisfaction, Company Culture, Work Life Balance;;90;1.2k;23;--;11;;
Farbe Firma;Pharma | 201-500 Employees | Conglomerate | 7 years old | Ankleshwar +2 more;4.4;Work Life Balance, Skill Development / Learning, Work Satisfaction;;89;275;4;8;5;;
ESSPL;IT Services & Consulting | 201-500 Employees | 26 years old | Bhubaneswar +1 more;4.4;Job Security, Work Life Balance, Company Culture;;89;622;--;1;17;;
Mtg Learning Media;Printing & Publishing | 51-200 Employees | 42 years old | Gurugram +10 more;4.4;Work Life Balance, Job Security, Skill Development / Learning;;89;465;8;2;6;;
R K Construction;Engineering & Construction | 51-200 Employees | Jamshedpur +36 more;4.4;Work Life Balance, Skill Development / Learning, Job Security;;89;506;3;--;7;;
Dexcel Electronics Designs;Software Product | 51-200 Employees | 12 years old | Chennai +1 more;4.4;Work Satisfaction, Work Life Balance, Skill Development / Learning;;89;459;4;7;3;;
Khansaheb Civil Engineering LLC;Engineering & Construction | 1k-5k Employees | 89 years old | Dubai +9 more;4.4;Work Life Balance, Skill Development / Learning, Company Culture;;88;158;3;--;15;;
SAP Ariba;Software Product | 501-1k Employees | 28 years old | Palo Alto +3 more;4.4;Work Life Balance, Job Security, Company Culture;;88;954;2;--;18;;
Laxmi India Finleasecap;51-200 Employees | 28 years old | Kolkata +31 more;4.4;Work Life Balance, Skill Development / Learning, Work Satisfaction;;88;324;4;5;9;;
Sharayu Toyota;Automobile | 5k-10k Employees | 14 years old | Aurangabad +6 more;4.4;Work Life Balance, Company Culture, Skill Development / Learning;;87;363;2;8;7;;
Self Coaching Classes;IT Services & Consulting | 5k-10k Employees | New Delhi +32 more;4.4;Work Life Balance, Work Satisfaction, Skill Development / Learning;;87;979;7;--;3;;
Aqua Group;Industrial Machinery | 501-1k Employees | 68 years old | Coimbatore +11 more;4.4;Skill Development / Learning, Work Satisfaction, Work Life Balance;Promotions / Appraisal;87;435;1;--;4;;
Renaissance Hotels;Hospitality | 201-500 Employees | 35 years old | Bethesda +8 more;4.4;Company Culture, Skill Development / Learning, Work Life Balance;;87;353;2;--;3;;
Brihanmumbai Electric Supply And Transport;Urban Transport | 51-200 Employees | 151 years old | Mumbai +1 more;4.4;Job Security, Company Culture, Skill Development / Learning;;87;274;--;--;15;;
Unayur Marketing;Healthcare | 201-500 Employees | 13 years old | New Delhi +1 more;4.4;Job Security, Salary & Benefits, Company Culture;;87;272;--;4;11;;
VAR Facility Management Solutions;Facility Management Services | 5k-10k Employees | 17 years old | Bengaluru +5 more;4.4;Work Life Balance, Job Security, Skill Development / Learning;;86;345;1;1;9;;
Simple Logic IT;IT Services & Consulting | 201-500 Employees | 15 years old | Mumbai +1 more;4.4;Company Culture, Work Life Balance, Job Security;;86;579;6;46;3;;
Isha Foundation;Non-Profit | 11-50 Employees | 32 years old | Coimbatore +12 more;4.4;Company Culture, Work Satisfaction, Skill Development / Learning;;86;542;3;41;12;;
Bhashyam Educational Institutions;Education & Training | 201-500 Employees | 26 years old | Guntur +19 more;4.4;Company Culture, Skill Development / Learning, Job Security;;85;427;4;--;22;;
TaeguTec;Industrial Machinery | 201-500 Employees | 26 years old | Daegu +10 more;4.4;Job Security, Company Culture, Work Life Balance;;85;491;7;--;11;;
Howe Engineering Projects;Engineering & Construction | 201-500 Employees (Global) | 58 years old | Ahmedabad +15 more;4.4;Work Life Balance, Salary & Benefits, Work Satisfaction;;85;505;3;--;12;;
Believers Church Medical College Hospital;Healthcare | 501-1k Employees | 10 years old | Thiruvalla +4 more;4.4;Company Culture, Job Security, Skill Development / Learning;Promotions / Appraisal;85;308;1;--;6;;
SHM Shipcare Private Limited;Ports & Shipping | 201-500 Employees | 23 years old | Mumbai +10 more;4.4;Skill Development / Learning, Company Culture, Job Security;;84;261;3;--;7;;
Capstone Securities Analysis;Financial Services | 201-500 Employees | 20 years old | Pune;4.4;Company Culture, Work Satisfaction, Work Life Balance;;84;186;2;1;14;;
Easy Home Finance;FinTech | 201-500 Employees | Public | 6 years old | Mumbai +21 more;4.4;Salary & Benefits, Work Life Balance, Company Culture;;84;308;7;21;9;;
Indian Red Cross Society;Non-Profit | 201-500 Employees | 104 years old | New Delhi +43 more;4.4;Work Life Balance, Work Satisfaction, Skill Development / Learning;;84;288;2;--;9;;
The World Bank;Banking | 1k-5k Employees | 80 years old | Washington +12 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;84;801;2;--;18;;
Appiness Interactive;IT Services & Consulting | 51-200 Employees | 13 years old | Bangalore/Bengaluru +2 more;4.4;Skill Development / Learning, Company Culture, Work Life Balance;;84;477;3;10;4;;
Sud Chemie;Chemicals | 501-1k Employees | 55 years old | New Delhi +4 more;4.4;Job Security, Work Life Balance, Company Culture;;84;475;2;--;16;;
Asian Institute of Gastroenterology;Healthcare | 501-1k Employees | 30 years old | Hyderabad/Secunderabad +1 more;4.4;Job Security, Company Culture, Work Life Balance;Promotions / Appraisal;84;423;2;4;5;;
SS Construction;Engineering & Construction | 51-200 Employees | 46 years old | Chandigarh +22 more;4.4;Skill Development / Learning, Work Satisfaction, Work Life Balance;;83;640;2;--;13;;
Symantec Software Solutions;IT Services & Consulting | 51-200 Employees | Pune +4 more;4.4;Company Culture, Work Life Balance, Work Satisfaction;;83;826;1;--;11;;
SS Construction;Engineering & Construction | 51-200 Employees | 46 years old | Chandigarh +22 more;4.4;Skill Development / Learning, Work Satisfaction, Work Life Balance;;83;640;2;--;13;;
Convergent Wireless Communications;Telecom | 51-200 Employees | 23 years old | Bengaluru +18 more;4.4;Job Security, Work Satisfaction, Skill Development / Learning;;83;337;3;--;9;;
Pearson;Education & Training | 10k-50k Employees (Global) | Conglomerate | 180 years old | London +12 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;82;695;6;13;10;;
Mangalore Chemicals & Fertilizers;Agro Chemicals | 501-1k Employees | Public | 50 years old | Bangalore/Bengaluru +7 more;4.4;Job Security, Work Life Balance, Company Culture;Promotions / Appraisal;81;532;--;--;5;;
Signity Solutions;IT Services & Consulting | 51-200 Employees | 15 years old | Mohali +2 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;;81;162;1;7;14;;
ATC India Tower Corporation;Telecom | 1k-5k Employees | 17 years old | Mumbai +25 more;4.4;Work Life Balance, Company Culture, Skill Development / Learning;Job Security;81;379;3;7;19;;
WHSmith;Retail | 201-500 Employees | 232 years old | Swindon +15 more;4.4;Company Culture, Job Security, Work Life Balance;Promotions / Appraisal;80;274;3;--;8;;
Orient Blackswan;Printing & Publishing | 501-1k Employees | 76 years old | Hyderabad +18 more;4.4;Work Life Balance, Job Security, Salary & Benefits;;80;325;4;--;14;;
BESIX;Engineering & Construction | 115 years old | Woluwe-Saint-Lambert +9 more;4.4;Work Satisfaction, Company Culture, Skill Development / Learning;;79;167;1;--;10;;
Agon IT Solutions;51-200 Employees | Hyderabad / Secunderabad;4.4;Work Life Balance, Company Culture, Job Security;;79;1.5k;3;--;22;;
Herman Miller;Furniture & Furnishing | 201-500 Employees | 119 years old | Zeeland +5 more;4.4;Work Life Balance, Company Culture, Job Security;;79;667;8;17;13;;
Vikram Tea;Financial Services | 51-200 Employees | 49 years old | Jalna +23 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;78;317;8;4;6;;
Cp Aquaculture;Agriculture | 501-1k Employees | 30 years old | Chennai +13 more;4.4;Job Security, Company Culture, Work Life Balance;;78;315;1;--;11;;
SmartWorld Developers;Real Estate | 201-500 Employees | Gurgaon / Gurugram +2 more;4.4;Salary & Benefits, Company Culture, Work Life Balance;;78;438;6;7;3;;
Experion Developers;Real Estate | 51-200 Employees | 18 years old | Gurgaon +5 more;4.4;Company Culture, Work Life Balance, Salary & Benefits;;77;447;3;23;9;;
General Motors Technical Centre India;Engineering & Construction | 1k-5k Employees | 28 years old | Detroit +3 more;4.4;Work Life Balance, Company Culture, Salary & Benefits;;77;532;1;--;11;;
NeST Information Technologies;IT Services & Consulting | 501-1k Employees | 26 years old | Kochi/Cochin +4 more;4.4;Company Culture, Job Security, Work Satisfaction;;77;630;3;--;18;;
Amol Pharmaceuticals;Pharma | 51-200 Employees | 28 years old | North Brunswick +2 more;4.4;Work Life Balance, Company Culture, Work Satisfaction;;77;401;3;--;6;;
Experion Developers;Real Estate | 51-200 Employees | 18 years old | Gurgaon +5 more;4.4;Company Culture, Work Life Balance, Salary & Benefits;;77;447;3;23;9;;
TNPL;Pulp & Paper | 201-500 Employees | 39 years old | Chennai +6 more;4.4;Job Security, Work Life Balance, Work Satisfaction;;77;344;2;16;16;;
TNPL;Pulp & Paper | 201-500 Employees | 39 years old | Chennai +6 more;4.4;Job Security, Work Life Balance, Work Satisfaction;;77;344;2;16;16;;
Frog CellSat;Design | 201-500 Employees | 31 years old | Noida +10 more;4.4;Skill Development / Learning, Job Security, Company Culture;;76;413;6;--;9;;
Imperial Electric Company;Engineering & Construction | 501-1k Employees | 13 years old | Kolkata +16 more;4.4;Work Life Balance;Promotions / Appraisal;76;401;1;--;3;;
Mahatma Gandhi Medical College & Hospital;Education & Training | 501-1k Employees | 24 years old | Jaipur +11 more;4.4;Work Life Balance, Job Security, Work Satisfaction;;76;392;4;--;11;;
Swan Solutions & Services;IT Services & Consulting | 201-500 Employees | 35 years old | Mumbai +7 more;4.4;Skill Development / Learning, Work Life Balance, Company Culture;;76;397;4;10;8;;
Cambridge International School;Education & Training | 1k-5k Employees | 11 years old | Nawanshahr +23 more;4.4;Skill Development / Learning, Work Life Balance, Work Satisfaction;;76;420;4;--;13;;
Infotel;IT Services & Consulting | 51-200 Employees | 24 years old | Gurgaon/Gurugram +6 more;4.4;Work Life Balance, Company Culture, Salary & Benefits;;76;1.3k;4;--;3;;
Rakesh Masala;Food Processing | 201-500 Employees | 28 years old | Noida +19 more;4.4;Company Culture, Skill Development / Learning, Salary & Benefits;Promotions / Appraisal;76;349;5;--;3;;
Ecocat India;Auto Components | 51-200 Employees | 33 years old | Faridabad;4.4;Work Life Balance, Company Culture, Work Satisfaction;;76;532;3;--;11;;
Arya Iron & Steel Co.;Iron & Steel | 501-1k Employees | 20 years old | Mumbai +4 more;4.4;Work Life Balance, Company Culture, Salary & Benefits;Promotions / Appraisal;76;418;7;--;11;;
Swan Solutions & Services;IT Services & Consulting | 201-500 Employees | 35 years old | Mumbai +7 more;4.4;Skill Development / Learning, Work Life Balance, Company Culture;;76;397;4;10;8;;
